"","salinity","temperature","oxygen","fluo"
"781833",33.767,11.596,5.9,0.320146286111054
"781836",33.731,11.59,5.97,0.332438459915605
"781838",33.843,11.573,5.92,0.320146286111054
"781840",33.866,11.576,5.98,0.281033367247728
"781842",33.796,11.612,6.09,0.305351369446624
"781845",33.754,11.628,6.12,0.320146286111054
"781848",33.697,11.638,6.16,0.296665190261531
"781851",33.635,11.655,6.14,0.294466226161593
"781853",33.665,11.661,6.17,0.307496037913213
"781856",33.663,11.664,6.16,0.287801729930226
"781859",33.593,11.683,6.18,0.296665190261531
"781861",33.622,11.687,6.19,0.260071387985075
"781865",33.636,11.697,6.19,0.267171728403014
"781867",33.671,11.699,6.19,0.255272505103306
"781869",33.56,11.752,6.25,0.269512944217916
"781871",33.63,11.747,6.1,0.290034611362518
"781874",33.555,11.82,6.28,0.307496037913213
"781876",33.52,11.796,6.23,0.271841606536499
"781878",33.442,11.837,6.24,0.287801729930226
"781881",33.409,11.874,6.07,0.301029995663981
"781884",33.319,11.927,6.39,0.276461804173244
"781886",33.137,11.94,6.04,0.322219294733919
"781888",33.138,11.938,5.95,0.296665190261531
"781890",33.162,11.952,5.94,0.313867220369153
"781892",33.202,11.941,6.1,0.326335860928751
"781894",33.291,11.927,6.23,0.361727836017593
"781896",33.335,11.954,6.22,0.344392273685111
"781898",33.435,11.889,6.17,0.332438459915605
"781900",33.387,11.924,6.28,0.363611979892144
"781902",33.682,11.788,6.15,0.332438459915605
"781905",33.671,11.789,6.2,0.33645973384853
"781908",33.743,11.796,6.21,0.338456493604605
"781910",33.745,11.81,6.25,0.352182518111362
"781914",33.773,11.807,6.18,0.374748346010104
"781916",33.819,11.817,6.07,0.382017042574868
"781918",33.82,11.783,6.02,0.361727836017593
"781920",33.927,11.73,6.16,0.390935107103379
"781923",33.901,11.729,6.1,0.383815365980431
"781925",33.95,11.723,5.98,0.3654879848909
"781927",33.858,11.764,5.98,0.401400540781544
"781929",33.961,11.726,6.06,0.423245873936808
"781932",33.807,11.75,6.13,0.45178643552429
"781934",33.833,11.75,6,0.396199347095736
"781936",33.889,11.717,6.09,0.434568904034199
"781938",33.865,11.724,6.11,0.445604203273598
"781940",33.818,11.74,6.05,0.450249108319361
"781942",33.779,11.762,6.23,0.423245873936808
"781944",33.706,11.765,6.24,0.397940008672038
"781946",33.682,11.782,6.24,0.424881636631067
"781948",33.743,11.77,6.2,0.352182518111362
"781950",33.697,11.774,6.22,0.414973347970818
"781952",33.749,11.755,6.12,0.397940008672038
"781955",33.663,11.78,6.2,0.436162647040756
"781957",33.587,11.804,6.19,0.450249108319361
"781959",33.612,11.799,6.01,0.414973347970818
"781961",33.493,11.84,6.23,0.416640507338281
"781963",33.442,11.84,6.22,0.419955748489758
"781966",33.432,11.842,6.2,0.426511261364575
"781968",33.432,11.842,6.16,0.423245873936808
"781970",33.419,11.844,6.01,0.429752280002408
"781972",33.413,11.849,6.11,0.423245873936808
"781975",33.479,11.828,6.13,0.423245873936808
"781977",33.533,11.809,6.09,0.41161970596323
"781980",33.566,11.804,6.04,0.367355921026019
"781983",33.548,11.81,6.1,0.344392273685111
"781985",33.559,11.801,6.14,0.382017042574868
"781988",33.666,11.766,6.01,0.396199347095736
"781991",33.768,11.78,6.03,0.394451680826216
"781994",33.666,11.81,6.01,0.385606273598312
"781996",33.785,11.763,6.06,0.387389826338729
"781998",33.744,11.777,6.01,0.369215857410143
"782002",33.892,11.739,6.08,0.374748346010104
"782005",33.926,11.722,6.06,0.367355921026019
"782007",33.866,11.744,6.07,0.338456493604605
"782009",33.908,11.733,6.07,0.328379603438738
"782012",33.844,11.747,6,0.3654879848909
"782015",33.871,11.745,5.91,0.322219294733919
"782017",33.901,11.741,6.12,0.342422680822206
"782020",33.89,11.744,6.05,0.332438459915605
"782023",33.853,11.755,6.15,0.344392273685111
"782025",33.833,11.766,6.17,0.311753861055754
"782028",33.819,11.774,6.19,0.298853076409707
"782030",33.824,11.79,6.21,0.328379603438738
"782032",33.84,11.78,6.1,0.334453751150931
"782035",33.774,11.795,6.2,0.3654879848909
"782037",33.776,11.812,6.17,0.367355921026019
"782039",33.762,11.831,6.23,0.28330122870355
"782041",33.784,11.866,6.19,0.27415784926368
"782043",33.739,11.884,6.24,0.276461804173244
"782045",33.752,11.91,6.24,0.262451089730429
"782047",33.707,11.922,6.23,0.27415784926368
"782050",33.684,11.923,6.25,0.296665190261531
"782052",33.675,11.949,6.14,0.285557309007774
"782054",33.676,11.959,6.17,0.285557309007774
"782056",33.658,11.965,6.15,0.318063334962762
"782058",33.686,11.973,6.16,0.3654879848909
"782060",33.711,12.068,6.27,0.356025857193123
"782062",33.707,12.051,6.28,0.363611979892144
"782065",33.718,12.037,6.22,0.372912002970107
"782067",33.716,12.005,6.22,0.385606273598312
"782069",33.763,11.948,6.22,0.371067862271736
"782071",33.77,11.996,6.29,0.361727836017593
"782074",33.779,12.023,6.29,0.409933123331295
"782076",33.892,11.937,6.3,0.392696953259666
"782079",33.895,11.961,6.2,0.369215857410143
"782081",33.898,11.963,6.27,0.423245873936808
"782083",33.967,11.878,6.2,0.383815365980431
"782085",34.024,11.858,6.15,0.361727836017593
"782088",34.058,11.837,6.14,0.40823996531185
"782090",33.984,11.85,6.19,0.429752280002408
"782093",34.022,11.778,6.09,0.423245873936808
"782095",34.059,11.759,6.06,0.424881636631067
"782098",34.04,11.77,6.05,0.418301291319745
"782100",34.031,11.773,6.03,0.453318340047038
"782102",34.016,11.774,6.08,0.432969290874406
"782104",33.956,11.796,6.2,0.416640507338281
"782106",33.95,11.789,6.19,0.387389826338729
"782108",33.959,11.783,6.09,0.399673721481038
"782111",33.917,11.795,6.12,0.397940008672038
"782114",33.749,11.837,6.18,0.432969290874406
"782117",33.746,11.834,6.2,0.403120521175818
"782119",33.755,11.825,6.19,0.406540180433955
"782122",33.717,11.824,6.17,0.413299764081252
"782124",33.697,11.829,6.12,0.45484486000851
"782126",33.694,11.828,5.94,0.406540180433955
"782128",33.705,11.822,6.04,0.416640507338281
"782130",33.753,11.804,6.07,0.390935107103379
"782133",33.771,11.769,6.11,0.363611979892144
"782136",33.771,11.776,6.09,0.372912002970107
"782139",33.77,11.788,6.07,0.367355921026019
"782141",33.84,11.794,6.1,0.3654879848909
"782144",33.85,11.793,6.15,0.383815365980431
"782147",33.933,11.779,6.12,0.380211241711606
"782149",33.862,11.773,6,0.340444114840118
"782151",33.85,11.769,6,0.367355921026019
"782153",33.907,11.768,6.07,0.390935107103379
"782155",33.901,11.748,6.06,0.356025857193123
"782157",33.966,11.751,6.06,0.338456493604605
"782160",34.027,11.735,6.06,0.305351369446624
"782163",34.032,11.738,6.09,0.328379603438738
"782165",33.972,11.74,6.08,0.361727836017593
"782167",34.049,11.737,6.03,0.334453751150931
"782169",34.007,11.739,6.03,0.301029995663981
"782171",33.943,11.753,6.12,0.330413773349191
"782174",33.941,11.758,6.07,0.342422680822206
"782177",33.975,11.762,6.05,0.346352974450639
"782179",33.961,11.771,6.03,0.330413773349191
"782181",33.94,11.776,6.17,0.334453751150931
"782184",33.922,11.782,6.12,0.356025857193123
"782186",33.916,11.78,6.18,0.313867220369153
"782188",33.93,11.785,6.15,0.311753861055754
"782191",33.915,11.796,6.19,0.332438459915605
"782194",33.893,11.801,6.2,0.315970345456918
"782196",33.906,11.812,6.13,0.305351369446624
"782199",33.902,11.822,6.11,0.330413773349191
"782201",33.859,11.824,6.19,0.346352974450639
"782203",33.865,11.828,6.09,0.350248018334163
"782205",33.874,11.828,6.13,0.348304863048161
"782208",33.835,11.828,6.12,0.357934847000454
"782210",33.825,11.827,6.15,0.371067862271736
"782212",33.787,11.828,6.15,0.380211241711606
"782214",33.771,11.841,6.17,0.382017042574868
"782217",33.774,11.837,6.06,0.372912002970107
"782219",33.806,11.833,6.18,0.380211241711606
"782221",33.831,11.835,6.21,0.413299764081252
"782223",33.824,11.834,6.18,0.367355921026019
"782225",33.813,11.836,6.16,0.399673721481038
"782227",33.814,11.832,6.18,0.378397900948138
"782231",33.786,11.83,6.19,0.382017042574868
"782233",33.778,11.825,6.16,0.414973347970818
"782235",33.736,11.842,6.23,0.399673721481038
"782237",33.603,11.828,6.17,0.371067862271736
"782240",33.691,11.831,6.17,0.372912002970107
"782242",33.79,11.816,6.16,0.390935107103379
"782244",33.788,11.81,6.13,0.413299764081252
"782246",33.836,11.801,6.14,0.389166084364532
"782249",33.701,11.819,6.1,0.396199347095736
"782251",33.762,11.813,6.05,0.397940008672038
"782253",33.776,11.809,6.04,0.404833716619938
"782255",33.865,11.791,6.09,0.392696953259666
"782257",33.884,11.788,6.07,0.392696953259666
"782259",33.787,11.801,6.01,0.392696953259666
"782261",33.791,11.789,5.98,0.401400540781544
"782263",33.926,11.773,6.07,0.416640507338281
"782265",33.918,11.774,6.07,0.376576957056512
"782267",33.937,11.771,6.12,0.406540180433955
"782269",33.907,11.773,6.03,0.392696953259666
"782271",33.877,11.779,6.15,0.41161970596323
"782273",33.873,11.774,6.13,0.385606273598312
"782275",33.878,11.767,6.11,0.40823996531185
"782278",33.863,11.769,6.1,0.382017042574868
"782280",33.859,11.766,6.1,0.383815365980431
"782283",33.857,11.766,6.07,0.528916700277655
"782285",33.847,11.761,5.98,0.359835482339888
"782287",33.824,11.759,6.03,0.348304863048161
"782290",33.839,11.765,6.07,0.354108439147401
"782292",33.571,11.774,6.04,0.421603926869831
"782295",33.652,11.755,6.09,0.389166084364532
"782297",33.753,11.749,6.07,0.390935107103379
"782299",33.666,11.736,6.02,0.359835482339888
"782302",33.682,11.737,6.03,0.354108439147401
"782304",33.704,11.736,6.05,0.344392273685111
"782306",33.696,11.728,6.02,0.361727836017593
"782309",33.771,11.738,6.05,0.361727836017593
"782311",33.736,11.739,6.07,0.346352974450639
"782314",33.787,11.735,6.08,0.330413773349191
"782316",33.745,11.678,6.02,0.307496037913213
